pincode,circle,region,division,offices
798611,North Eastern Circle,North Eastern Region,Nagaland Division,"Kiphire S.O, Amahatore B.O, Anatongere B.O, Kisethong B.O, Longmatra B.O, Moya B.O, Phalonger B.O, Pokhpur B.O, Pungro B.O, Seyochang B.O, Sikur B.O, Singrup B.O, Sitimi B.O, Phisami B.O"
798612,North Eastern Circle,North Eastern Region,Nagaland Division,"Tuensang S.O, Yangpi B.O, Noksen B.O, Choklangan B.O, Nokhu B.O, Pangsha B.O, Pessu B.O, Sanglao B.O, Chessore B.O, Chingmei B.O, Huker B.O, Kuthur B.O, Panso B.O, Sangsanyu B.O, Saramati B.O, Shamator B.O, Shampur B.O, Shiponger B.O, Sotokur B.O, Thonokhunyu B.O, Tuensang Village B.O, Noklak B.O"
798613,North Eastern Circle,North Eastern Region,Nagaland Division,"Chantongia S.O, Yaongyimsen B.O"
798614,North Eastern Circle,North Eastern Region,Nagaland Division,"Chuchuyimlang S.O, Phangsang B.O, Longkong B.O, Mongsenyimti B.O, Salulamang B.O, Ungar B.O, Yisemyong B.O"
798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O, Sungratsu B.O"
798616,North Eastern Circle,North Eastern Region,Nagaland Division,"Longkhim S.O, Angangba B.O, Chimonger B.O, Chungtore B.O, Yangli B.O"
798618,North Eastern Circle,North Eastern Region,Nagaland Division,"Merangkong B.O, Tuli S.O, Asangma B.O, Barakangtsung B.O, Luyang Valley B.O, Molungkhimong B.O, Molungyimsen B.O, Tamlu B.O, Wamaken B.O"
798619,North Eastern Circle,North Eastern Region,Nagaland Division,Asukuto B.O
798620,North Eastern Circle,North Eastern Region,Nagaland Division,"Akuhaito B.O, Zunheboto S.O, Aghunato B.O, Asukhomi B.O, Asuto B.O, Atoizu B.O, Hosephu B.O, Kichilimi B.O, Saghemi B.O, Satakha B.O, Satami B.O, Satoi B.O, Suruhuto B.O, Surumi B.O, Tokiye B.O"
798621,North Eastern Circle,North Eastern Region,Nagaland Division,"Mon S.O, Chui B.O, Longpong Senghe B.O, Longwa B.O, Pongkong B.O, Singha Chingnyu B.O, Tang B.O, Totak B.O, Waunching B.O, Wakching B.O"
798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O"
798623,North Eastern Circle,North Eastern Region,Nagaland Division,Paper Nagar S.O
798625,North Eastern Circle,North Eastern Region,Nagaland Division,"Longleng S.O, Hukpang B.O, Nian B.O, Phomching B.O, Sakchi B.O, Yachem B.O, Yongyah B.O, Bhumnyu BO"
798627,North Eastern Circle,North Eastern Region,Nagaland Division,"Aizuto B.O, Lumami S.O, Akuluto B.O"
799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O, Jaganath Bari Road S.O"
799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O, Bhati Abhoynagar B.O, Border Rampur B.O, Paschim Bhubanban B.O, Town Rampur B.O, Krishnanagar B.O"
799003,North Eastern Circle,Shillong HQ Region,Agartala Division,"Arundhutinagar S.O, Badharghat B.O, Bardowali B.O, Bhattapukur B.O, Charipara B.O, Ishanchandranagar B.O, Madhuban B.O, Ranirkhamar B.O, Siddhi Ashram B.O, S.D.Mission Colony B.O"
799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O, Jogendranagar B.O, Nagicherra B.O, Purba Pratapgarh B.O, Renters Colony B.O, Srinagar Kacharipara B.O, Town pratapgarh B.O, Aralia B.O, Dhupcherra B.O, Jarul Bachai B.O"
799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O
799006,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kunjaban S.O, Bankumari E/SB B.O, G.B.Hospital B.O, Indranagar B.O, Kathalbagan B.O, Kunjabon Road B.O, Nandannagar B.O, Noagaon Krishnagar B.O"
799007,North Eastern Circle,Shillong HQ Region,Agartala Division,"Dhaleswar S.O, Banamalipur B.O"
799008,North Eastern Circle,Shillong HQ Region,Agartala Division,"Khayerpur S.O, Khasnoagaon B.O, Mariamnagar B.O, Neepco B.O, Old Agartala B.O, Paschim Champamur B.O, Paschim Noabadi B.O, Ramachandranagar B.O, Reshambagan B.O"
799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O, Narayanpur B.O, Nutannagar B.O, Agartala Airport Building S.O"
799010,North Eastern Circle,Shillong HQ Region,Agartala Division,Agartala Secretariat S.O
799011,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jampuijala SO, Ujan Ghaniamara B.O, Jampuijala Colony B.O, Kanakraipara B.O, Kendraicherra B.O, Takarjala B.O, Sankumabari B.O"
799012,North Eastern Circle,Shillong HQ Region,Agartala Division,"Salbagan S.O, Gandhigram B.O"
799013,North Eastern Circle,Shillong HQ Region,Agartala Division,"Matabari S.O, Abani Reangpara B.O, Dakshin Chandrapur B.O, Dakshin Maharani B.O, Fulkumari B.O, Holakhet B.O, Jamjuri B.O, Joalikhamar B.O, Lakshipati B.O, Maharani B.O, Murapara B.O"
799014,North Eastern Circle,Shillong HQ Region,Agartala Division,Agartala ONGC S.O
799015,North Eastern Circle,Shillong HQ Region,Agartala Division,"Narayanpur Bazar SO, Tebaria B.O"
799022,North Eastern Circle,Shillong HQ Region,Agartala Division,Tripura University S.O
799035,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ranirbazar S.O, Burakha Landless Colony B.O, Dinabandhupara B.O, Durganagar B.O, Majlishpur B.O, Meghlipara B.O, Purba Noagaon B.O, Sonamani sepaipara B.O, Wakinagar B.O"
799045,North Eastern Circle,Shillong HQ Region,Agartala Division,"Birendranagar S.O, Ashigarh B.O, Shantinagar B.O, Belbari B.O, Brigudaspara B.O, Champaknagar B.O, Gurudas Colony B.O, Janmejoynagar B.O, Mandainagar B.O, Mdhabbari B.O, Noabadi B.O, Radhamohanpur B.O, Sanchindranagar Colony B.O, Tripura Engineering College B.O, Bisrambari B.O."
799046,North Eastern Circle,Shillong HQ Region,Agartala Division,NIT Agartala S.O
799101,North Eastern Circle,Shillong HQ Region,Agartala Division,"Amarpur S.O (South Tripura), Ampinagar B.O, Bampur B.O, Chechuajamatiabari B.O, Chellagong B.O, Dakshin taidu B.O, Debbari B.O, Dhanlekha B.O, Gamakubari B.O, Kurma B.O, Mahuamillan B.O, Malbassa B.O, Nagrai B.O, Paharpur B.O, Palku B.O, Rangamati B.O, Rangkhang B.O, Sarbong B.O, Taidubari B.O"
799102,North Eastern Circle,Shillong HQ Region,Agartala Division,"Bishalgarh S.O, Boxonagar B.O, Brajapur B.O, Dhajanagar B.O, Gazaria B.O, Golaghati B.O, Harishnagar T.E. B.O, Jampuijala B.O, Jampuijala Colony B.O, Kaiyadhepa B.O, Kalamcherra B.O, Kalasimura B.O, Kalkalia B.O, Kamalasagar B.O, Kanakraipara B.O, Kendraicherra B.O, Konabon B.O, Krishnakishorenagar B.O, Lalsingmura B.O, Madhupur B.O, Nabasantiganj Bazar B.O, Nabinagar B.O, No.2 Chandranagar B.O, Purathalrajnagar B.O, Purba Gokulnagar B.O, Purba Laxmi Bill B.O, Putia B.O, Rohimpur B.O, Rokhia G.T Project B.O, Sankumabari B.O, Sepahijala B.O, Sutarmura B.O, Takarjala B.O, Ujan Ghaniamara B.O, Veluarchar B.O, South Nehalchandranagar B.O, West Laxmibill B.O"
799103,North Eastern Circle,Shillong HQ Region,Agartala Division,"Bishramganj S.O, Amarendranagar B.O, Bagmara B.O, Barjala B.O, Charilam B.O, Chechrimile B.O, Goliraibari B.O, Latiacherra B.O, Padmanagar B.O, Pathaliaghat B.O, Promodenagar B.O, Ramnagar Bazar B.O, Rangamala Bazar B.O, South Charilam B.O, Tekshapara B.O"
799104,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jatanbari S.O, Barbil B.O, Boalkhali B.O, Dumburnagar B.O, Ghorakappa B.O, Jalaya B.O, Karbook B.O, Lebacherra B.O, Paticherri B.O, Purba Manikya Dewan B.O, Raima B.O, Silacharri B.O, Suknacherri B.O, Tirthamukh B.O, Tuichama B.O, Uttar Chellagonj B.O"
