pincode,circle,region,division,offices
795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O, Haoreibi Mayai Leikai B.O, Heinoumakhong B.O, Lairabokhong B.O, Nungei B.O, Phunalmaring B.O, Thiyamkonjil B.O, Turelahnabi B.O, Urup B.O"
795131,North Eastern Circle,North Eastern Region,Manipur Division,"Bongajang B.O, Bongjang B.O, Changpol B.O, Gamphajal B.O, Khudengthabi B.O, Maojam B.O, Molcham B.O, New Somtal B.O, Moreh S.O, T  Bongmun B.O, Tengnoupal B.O, T minou B.O, Yangoulen B.O, Khenjoi B.O"
795132,North Eastern Circle,North Eastern Region,Manipur Division,"Mayang Imphal S.O, Arong B.O, Bengoon Maning Leikai B.O, Chabung Company B.O, Chirai Muslim B.O, Heibong Makhong B.O, Irong Chessaba B.O, Irong Umang Khunou B.O, Khelakhong Khongjil B.O, Komlakhong B.O, Laphupat B.O, Loukok Mayai Leikai B.O, Maibam Konjil B.O, Mayang Impahl Bengoon B.O, Mutum Phibou B.O, Phoubakchao B.O, Santhel B.O, Sekmaijin  Khunou Konuma B.O, Sekmaijin B.O, Sekmaijin Khunou Litan Makhong B.O, Tera Khoidum Mayai Leikai B.O, Uchiwa B.O, Uchiwa Wangban B.O, Hayel Hangoon B.O"
795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O, Nabil (P) B.O, Ngangkha Louwai B.O, Nungthangtampak B.O, Phousabung B.O, Sagang B.O, Saiton B.O, Terakhongshangbi B.O, Thanga Karang B.O, Thanga(P) B.O, Thumkhonglok B.O, Torbung B.O, Tronglaobi B.O, Tuisang Gothal B.O, Wangoo B.O, Wangoo Tera B.O, Moirang S.O, Boroyangbi B.O, Bunglon B.O, Dopkon B.O, Ethai Bazar B.O, Gelman (G.Gothal) B.O, Haotakphailen B.O, Kangathel B.O, Khathinungei B.O, Khoirentak B.O, Khordak Ichin B.O, Khousabung B.O"
795134,North Eastern Circle,North Eastern Region,Manipur Division,"Nambol S.O, Awangjiri B.O, Bungte Chiru B.O, Heikrujam B.O, Irengbam B.O, Isok B.O, Kabowakching B.O, Kangmong B.O, Keinou B.O, Khabi B.O, Langpok B.O, Leimapokpam B.O, Leimaram B.O, Maibam B.O, Manamayang B.O, Naorem B.O, Oinam B.O, Pukhrambam B.O, Yarou Bomdiar B.O, Thingkai Khullen B.O, Utlou B.O"
795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O, Bongli B.O, Chatong B.O, Chelhep B.O, Kambang Khunou B.O, Khangbarol B.O, Kharou Khullen B.O, Khoibu B.O, Khousat (T/C/D) B.O, Khudei Khullen B.O, Khunbi B.O, Laiching Tangsang B.O, Lamkang Khunou B.O, Lamlong Khullen B.O, Lamlong Khunou B.O, Leibi B.O, Liwachangning B.O, Machi B.O, Minou Khunjao B.O, Molhang B.O, Moltek B.O, Narum B.O, Saibhom B.O, Sita B.O, Songjang B.O, Thamnapokpi B.O"
795136,North Eastern Circle,North Eastern Region,Manipur Division,"Sekmai S.O, Awang Leikinthabi B.O, Ch. Khongnangpokpi B.O, Kanglatombi B.O, Luwangsangol B.O, Makhan B.O, Potsangbam Khoiru B.O"
795138,North Eastern Circle,North Eastern Region,Manipur Division,"Thoubal S.O, Athokpam B.O, Athokpam Khunou B.O, Charangpat B.O, Haokha B.O, Irong Thokchom (T/C/D) B.O, Keibung Mamang B.O, Khangabok B.O, Khekman B.O, Kiyam Siphai B.O, Kshetri Leikai B.O, Moijing B.O, Okram Wangmataba B.O, Phoudel B.O, Poirou Kongjil B.O, Sabaltongba B.O, Thoubal Block (T/C/D) B.O, Thoubal Khunou B.O, Thoubal Leisangthem B.O, Thoubal Ningombam B.O, Wangbal B.O"
795139,North Eastern Circle,North Eastern Region,Manipur Division,"Singhat S.O, Behiang B.O, Hengtam B.O, Kangkap B.O, Lama Camp B.O, Lungchin B.O, Lungthul(L.Daijang) B.O, Mualmun B.O, Siabu B.O, Suangdoh B.O, Songtal B.O, Vokbual B.O"
795140,North Eastern Circle,North Eastern Region,Manipur Division,"Tulihal S.O, Laiphrakom B.O, Sangaiprou B.O, Yarou Mitram B.O"
795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O, Thuilon B.O, Tousem B.O, Wairengba B.O, Farmland B.O, Akhui B.O, Atengba B.O, Bhalok B.O, Bongoijang B.O, Dailong B.O, Kahulong B.O, Keikao B.O, Khongjaron B.O, Khongjaron Khunthak B.O, Longpram B.O, Namtiram B.O, New Pallong B.O, Songpram B.O"
795142,North Eastern Circle,North Eastern Region,Manipur Division,"Ukhrul S.O, Chamu B.O, Chingai (P) B.O, Chingjaroi (p) B.O, Chither (P) B.O, Huining B.O, Hundung B.O, Jessami B.O, Kagai B.O, Khamasom B.O, Kharasom B.O, Khayang B.O, Lamlang Gate B.O, Mapum B.O, Ngaimu B.O, Nungbi Khunou B.O, Nungshang B.O, Paorei B.O, Paoyii B.O, Phungcham B.O, Poii B.O, Pushing B.O, Rajai Khunou B.O, Sirarakhong B.O, Siroi B.O, Soraphung B.O, T.C.Compound B.O, Tolloi B.O, Tuinem B.O, Tungou B.O, Tushem B.O"
795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O, Phadang B.O, Thiwa B.O"
795145,North Eastern Circle,North Eastern Region,Manipur Division,"Litan S.O, Aishi B.O, Chadong B.O, Chassad B.O, Grihang B.O, Kongpat Khunou B.O, L Tangkhul B.O, Lambui B.O, Leiting B.O, Lungphu B.O, Maku B.O, Maokot B.O, Phungyar B.O, Sanakeithel B.O, Semol B.O, Shangsak B.O, Siyamongjang B.O, Sorde B.O, Thawai B.O, Yaingangpokpi B.O"
795146,North Eastern Circle,North Eastern Region,Manipur Division,"Lamsang S.O, Christian Centre Haochong B.O, Heibongpokpi B.O, Ijairong B.O, Irengnaga B.O, Kangchup Chiru B.O, Kangchup Hill (P) B.O, Kangchup Makhong B.O, Karam Vaiphei B.O, Khungdong Khungkhaiba B.O, Lairen Sajik B.O, Lamdeng B.O, Mayang Langjing B.O, Oktan B.O, Phayeng B.O, Ponlian B.O"
795147,North Eastern Circle,North Eastern Region,Manipur Division,"Nungba S.O, Khongsang B.O, Kambiron B.O, Mukti Khullen B.O, Rengpang B.O, Sibilong B.O"
795148,North Eastern Circle,North Eastern Region,Manipur Division,"Wangjing S.O, Cherapur B.O, Heirok Part 2 B.O, Herok Part 1 B.O, Karongthel B.O, Khongjom B.O, Phundrei B.O, Puleipokpi B.O, Salungpham B.O, Samaram B.O, Sangaiyumpham B.O, Sapam Salai B.O, Tekcham B.O, Tentha B.O, Tollen B.O, Langathel B.O"
795149,North Eastern Circle,North Eastern Region,Manipur Division,"Yairipok S.O, Lembakhul B.O, Andro B.O, Angtha B.O, Bongbal Khullen B.O, Changamdabi B.O, Haokhongching B.O, Heinganglok B.O, Huikap B.O, Irong Tangkhul B.O, Kamu Tampak B.O, Kamu Tongnom B.O, Kamuching B.O, Kasom Khullen B.O, Khoirom B.O, Khonglou Vaiphei (T/C/D) B.O, Lourembam B.O, Lungthar B.O, Mollen (T/C/D) B.O, Nambasi B.O, Nongpok Sekmai B.O, Phouoibi B.O, Saram Patong B.O, Soichang B.O, Top Chingtha B.O, Yairipok Tulihal B.O, Yambem Laxmi Bazar B.O, Ningthounai B.O, Theiyong B.O"
795150,North Eastern Circle,North Eastern Region,Manipur Division,"Mao S.O, Pfukhro B.O, Phunanamei B.O, Pudunamei B.O"
795159,North Eastern Circle,North Eastern Region,Manipur Division,"None S.O, Awangkhul B.O, Charoi Tupul B.O, Haochong B.O, Lukhambi B.O, Nagaching B.O, New Kabui Khullen B.O, Karuangmuan (Nungtek) B.O, Thingra B.O, Nungnang B.O"
796001,North Eastern Circle,North Eastern Region,Mizoram Division,"Aizawl H.O, Dawrpui S.O"
796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O
796005,North Eastern Circle,North Eastern Region,Mizoram Division,"Kulikawn S.O, Hualngohmun B.O, Kelsih B.O, Khawchhete B.O, Maubawk B.O, Missionvengthlang B.O, Muallungthu B.O, Mualmawi B.O, Mualpui B.O, N.Lungleng B.O, S,hlimen B.O, Sabualkawn B.O, Thingdawlmelriat B.O, New Secretariat Complex B.O, Bungkawn B.O, College Veng B.O, Republic Veng B.O, Thakthingbazar B.O"
796007,North Eastern Circle,North Eastern Region,Mizoram Division,"Edenthar B.O, Chandmary S.O, Armed Veng B.O, Bethlehem B.O, Ramthar B.O, Tuithiang B.O, Electric Veng B.O"
796008,North Eastern Circle,North Eastern Region,Mizoram Division,Armed Veng S.O
796009,North Eastern Circle,North Eastern Region,Mizoram Division,"Vaivakawn S.O, Chawlhhmun B.O, Govt. Complex B.O, Luangmual B.O, Rangvamual B.O, Sakawrtuichhun B.O, Tanhril B.O, Dinthar B.O"
796012,North Eastern Circle,North Eastern Region,Mizoram Division,"Ramhlun S.O, Chaltlang B.O"
796014,North Eastern Circle,North Eastern Region,Mizoram Division,"Bawngkawn S.O, Durtlang B.O, Sihphir B.O"
796015,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdai B.O, Muthi B.O, Selesih B.O, Zanlawn B.O, Durtlang SO, Tlangnuam S.O"
796017,North Eastern Circle,North Eastern Region,Mizoram Division,"Zemabawk S.O, Cti Sesawng B.O, Kepran B.O, Khanpui B.O, Khawruhlian B.O, Phaileng 'E' B.O, Sawleng B.O, Sesawng B.O, Zuangtui B.O, Tuirial Airfield B.O, Putlungasih B.O"
796036,North Eastern Circle,North Eastern Region,Mizoram Division,Sihphir S.O
796070,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawnpui S.O, Bualpui B.O, Hortoki B.O, Mualvum B.O, N.Chaltlang B.O, Bukpui B.O, Lungmuat B.O, N.Hlimen B.O, Nisapui B.O, Thingthelh B.O, Serkhan B.O"
796075,North Eastern Circle,North Eastern Region,Mizoram Division,Thingdawl S.O
796081,North Eastern Circle,North Eastern Region,Mizoram Division,"Kolasib S.O, Thingdawl B.O, Bairabi B.O, Builum B.O, Chuhvel B.O, Diakkawn B.O, Saikhawthlir B.O, Suarhliap B.O, Vengthar B.O"
796091,North Eastern Circle,North Eastern Region,Mizoram Division,"Bilkhawthlir S.O, Buhchang B.O, Phaisen B.O, N.Chawnpui B.O, Saiphai B.O, Saipum B.O, Tuirial H.E.P B.O"
796101,North Eastern Circle,North Eastern Region,Mizoram Division,"Vairengte S.O, Phainuam B.O"
796111,North Eastern Circle,North Eastern Region,Mizoram Division,"Darlawn S.O, Khawpuar B.O, Lungsum B.O, Mauchar B.O, N.Serzawl B.O, N.Tinghmun B.O, New Vervek B.O, Palsang B.O, Ratu B.O, Sailutar B.O, Sakawrdai B.O, Thingsat B.O, Vaitin B.O, Vervek B.O, Zohmun B.O"
796161,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsulthliah S.O, Baktawng B.O, Chhingchhip B.O, Hmuntha B.O, Hualtu B.O, Khawbel B.O, Khumtung B.O, Seling B.O, Thentlang B.O, Tlungvel B.O"
